"edad","lugar_residencia","trabaja","ingreso_mensual","familiares_graduados","familiares_misma_carrera","conocimiento_plan_estudios","conocimiento_areas_carrera","previo_test_vocacional","momento_test_vocacional","resultados_congruentes_test","conocimiento_test_unah","satisfaccion_carrera","satisfaccion_docentes","motivacion","opcion_inicial_carrera","cambio_carrera","interes_herramienta_tecnologica","pensado_cambio_carrera","veces._cambio_carrera","año_carrera","procentaje_clases_cursadas","porcentaje_clases_facultad","porcentaje_clases_matematica","indice_academico","reprobado","año_reprobacion","reprobado_mas_de_dos","estudia_grupo","horas_estudio_diario","comunicación_oral_escrita.","asesoria_universitaria","jornada","razones_eleccion_carrera","factores_no_cambio","factores_cambio_carrera","multiple_carrera","lugar_origen"
"21-24 años","Padres","Si","0 - 3000 L.","Si","No","Si","Si","Si","Antes de cursar la carrera","No","No","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Sí",0,4,"mas de 50%","50-70%","0-30%","80-89","Si","2","Si","Tal vez","2-4 horas","Alta","Ninguna","Doble Jornada","Influencia Familiar/Conocidos","Recursos y tiempo invertidos","No aplica","No","Centro Oriental"
"21-24 años","Padres","No","Mayor a 6000 L.","Si","No","Si","Si","Si","Durante la carrera","Si","Si","Muy satisfecho","Nada satisfecho",5,"Si","Sí","Si","No aplica",1,3,"mas de 50%","30-50%","30-50%","70-79","Si","1","Si","Si","mas de 4 horas","Alta","Ninguna","Doble Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Sur"
"21-24 años","Padres","Si","Mayor a 6000 L.","Si","No","No","Si","No","No realizo test","Si","No","Poco satisfecho","Poco satisfecho",1,"Si","No","Si","Sí",0,3,"mas de 50%","0-30%","50-70%","65-69","Si","2","Si","Si","0-2 horas","Muy alta","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","No cumple con requisitos requeridos","No aplica","No","Centro Oriental"
"21-24 años","Familiares","No","0 - 3000 L.","Si","No","Si","Si","No","No realizo test","Si","Si","Poco satisfecho","Poco satisfecho",4,"Si","No","Si","Sí",0,2,"0-20%","0-30%","30-50%","<65","Si","1","Si","No","0-2 horas","Muy alta","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","Opinion familiar/amigos","No aplica","No","Centro Occidental"
"21-24 años","Propia","Si","3000- 6000 L.","Si","Si","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Muy satisfecho",5,"Si","No","Si","Tal vez",0,2,"0-20%","30-50%","50-70%","70-79","Si","1","No","Si","0-2 horas","Alta","Feria vocacional y Curso induccion","Unica Jornada","Demanda laboral y Beneficio economico","Recursos y tiempo invertidos","No aplica","No","Centro Oriental"
"mayor de 28","Propia","Si","Mayor a 6000 L.","Si","Si","Si","Si","No","No realizo test","Si","No","Muy satisfecho","Poco satisfecho",5,"Si","No","Si","No",0,2,"20-50%","0-30%","0-30%","<65","Si","1","Si","No","0-2 horas","Muy alta","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental"
"mayor de 28","Padres","No","0 - 3000 L.","Si","No","No","Si","No","No realizo test","Si","Si","Poco satisfecho","Poco satisfecho",3,"Si","No","Si","Tal vez",0,3,"20-50%","30-50%","0-30%","<65","Si","1","Si","Si","0-2 horas","Muy alta","Ninguna","Unica Jornada","Vocación","No cumple con requisitos requeridos","No aplica","No","Centro Oriental"
"21-24 años","Padres","Si","Mayor a 6000 L.","Si","No","Si","Si","Si","Durante la carrera","Si","No","Poco satisfecho","Muy satisfecho",4,"No","No","Si","No",0,4,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","3","Si","Tal vez","0-2 horas","Media","Ninguna","Unica Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental"
"25-28 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","No","Si","Si","No","No realizo test","Si","No","Muy satisfecho","Poco satisfecho",4,"No","Sí","Si","No aplica",1,4,"mas de 50%","mas de 70%","30-50%","65-69","Si","1","Si","Tal vez","2-4 horas","Muy alta","Ninguna","Jornada completa","Demanda laboral y Beneficio economico","No aplica","Factor económico","No","Centro Oriental"
"mayor de 28","Padres","Si","Mayor a 6000 L.","Si","No","No","Si","No","No realizo test","Si","No","No satisfecho","Poco satisfecho",1,"No","Sí","Si","No aplica",1,1,"0-20%","0-30%","0-30%","<65","Si","1","Si","No","0-2 horas","Alta","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","Falta de puntos en la PAA","No","Centro Oriental"
"21-24 años","Propia","No","Mayor a 6000 L.","No","No","Si","Si","Si","Antes de cursar la carrera","Si","Si","Muy satisfecho","Poco satisfecho",3,"Si","Sí","Si","No aplica",1,3,"20-50%","30-50%","0-30%","90-100","Si","1","Si","Si","0-2 horas","Media","Feria vocacional y Curso induccion","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","Falta de puntos en la PAA","No","Centro Oriental"
"21-24 años","Familiares","No","0 - 3000 L.","Si","No","No","Si","Si","Antes de cursar la carrera;Durante la carrera","No","Si","Muy satisfecho","Poco satisfecho",5,"Si","No","Si","No",0,5,"mas de 50%","mas de 70%","mas de 70%","80-89","Si","1","No","Si","2-4 horas","Muy alta","Ninguna","Doble Jornada","Demanda laboral y Beneficio economico","No aplica","No aplica","Si","Centro Oriental"
"25-28 años","Aquiler independiente","Si","Mayor a 6000 L.","Si","No","No","Si","Si","Durante la carrera","Si","No","Poco satisfecho","Poco satisfecho",4,"Si","No","No","No",0,3,"20-50%","30-50%","0-30%","<65","Si","1","Si","Tal vez","0-2 horas","Media","Feria vocacional y Curso induccion","Unica Jornada","Vocación","No aplica","No aplica","Si","Centro Oriental"
"21-24 años","Padres","Si","Mayor a 6000 L.","Si","Si","No","Si","No","No realizo test","Si","Si","Muy satisfecho","Muy satisfecho",4,"Si","No","Si","Sí",0,5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","2","Si","Tal vez","0-2 horas","Baja","Ninguna","Unica Jornada","Vocación","No contestó","No aplica","No","Centro Oriental"
"25-28 años","Aquiler independiente","No","0 - 3000 L.","Si","No","Si","Si","No","No realizo test","Si","No","Muy satisfecho","Poco satisfecho",4,"Si","No","Si","No",0,5,"mas de 50%","mas de 70%","mas de 70%","70-79","Si","2","Si","Si","0-2 horas","Muy alta","Feria vocacional y Curso induccion","Jornada completa","Demanda laboral y Beneficio economico","No aplica","No aplica","No","Centro Oriental"
